root_comment_id,root_emotion,total_replies,same_emotion_count,propagation_rate,reply_emotion_distribution
Ugxub1LGnHgZa8iTjzx4AaABAg,disgust,5,2,0.4,"{'disgust': 2, 'neutral': 2, 'surprise': 1}"
UgxoRc5jwvvDJS6F_8t4AaABAg,disgust,2,1,0.5,"{'neutral': 1, 'disgust': 1}"
Ugwr5ZO1SPUYFZGrgb54AaABAg,joy,20,1,0.05,"{'neutral': 9, 'joy': 1, 'disgust': 3, 'anger': 3, 'fear': 3, 'surprise': 1}"
UgzWpiiKyA2vwXXSf5Z4AaABAg,neutral,7,7,1.0,{'neutral': 7}
UgwLQGja3cxgJWgrz6t4AaABAg,anger,56,12,0.21428571428571427,"{'neutral': 23, 'disgust': 14, 'anger': 12, 'joy': 2, 'surprise': 2, 'fear': 3}"
UgyZIFBOJZ8voBU4dI94AaABAg,neutral,1,0,0.0,{'anger': 1}
UgwHATzd3QdDYOiesmV4AaABAg,joy,5,0,0.0,"{'disgust': 1, 'neutral': 3, 'anger': 1}"
UgwvD0qH001tLbcnuVt4AaABAg,neutral,16,8,0.5,"{'anger': 6, 'neutral': 8, 'surprise': 2}"
UgzVNR4qwF9Et-5irGF4AaABAg,disgust,8,3,0.375,"{'disgust': 3, 'sadness': 1, 'neutral': 3, 'anger': 1}"
UgwIa_OVyjzFARnalNl4AaABAg,anger,1,0,0.0,{'neutral': 1}
UgxDNUmkuQNoKsn0Oxd4AaABAg,joy,144,1,0.006944444444444444,"{'disgust': 21, 'anger': 41, 'sadness': 6, 'fear': 6, 'neutral': 54, 'surprise': 15, 'joy': 1}"
UgymZoyeBEMkmOc0N-h4AaABAg,neutral,1,1,1.0,{'neutral': 1}
UgzFEQgeN3p8UYr6gFZ4AaABAg,neutral,1,0,0.0,{'disgust': 1}
Ugy0h652vPc694di9YR4AaABAg,neutral,3,1,0.3333333333333333,"{'anger': 1, 'surprise': 1, 'neutral': 1}"
Ugyi3hAG2AaVRFZc3ux4AaABAg,neutral,7,2,0.2857142857142857,"{'anger': 2, 'surprise': 3, 'neutral': 2}"
